item,frequency,support_percent,total_utility,utility_percent,category,rank_by_frequency,rank_by_utility,rank_difference
TWO DOOR CURIO CABINET,77,0.42727928527828646,2398.95,0.02658050935115359,Others,1719,819,900
RECYCLED ACAPULCO MAT PINK,131,0.726929693135786,2396.32,0.026551368793995868,Others,1146,820,326
LARGE DECO JEWELLERY STAND,83,0.46057377504023084,2392.24,0.026506162150192237,Others,1641,821,820
SET/10 BLUE POLKADOT PARTY CANDLES,185,1.0265801009932856,2392.21,0.026505829748399566,Others,800,822,-22
RIBBON REEL CHRISTMAS PRESENT ,241,1.3373286721047666,2392.2,0.026505718947802005,Others,566,823,-257
FAIRY TALE COTTAGE NIGHTLIGHT,74,0.4106320403973142,2389.85,0.026479680807375897,Others,1759,824,935
SET OF 5 PANCAKE DAY MAGNETS,168,0.9322457133344432,2387.68,0.026455637077705835,Others,874,825,49
SPACEBOY MINI BACKPACK,180,0.998834692858332,2384.89,0.02642472371098718,Others,817,826,-9
RED RETROSPOT CUP,310,1.7202153043671273,2378.69,0.02635602734050128,Others,382,827,-445
6 RIBBONS ELEGANT CHRISTMAS ,193,1.0709727540092115,2373.5299999999997,0.026298854232161398,Others,761,828,-67
KINGS CHOICE MUG,145,0.8046168359136564,2369.38,0.02625287198417487,Others,1028,829,199
6 EGG HOUSE PAINTED WOOD,139,0.7713223461517119,2368.68,0.026245115942345812,Others,1086,830,256
BISCUIT TIN VINTAGE RED,135,0.749126019643749,2363.56,0.02618838603639617,Others,1108,831,277
TEA TIME OVEN GLOVE,274,1.5204483657954608,2363.3,0.02618550522085967,Others,468,832,-364
SET OF 3 WOODEN STOCKING DECORATION,294,1.6314299983352754,2361.32,0.0261635667025432,Others,421,833,-412
POPPY'S PLAYHOUSE LIVINGROOM ,283,1.5703901004383773,2357.2400000000002,0.026118360058739576,Others,445,834,-389
CHILDREN'S APRON DOLLY GIRL ,254,1.409466733255646,2355.33,0.026097197144606014,Others,525,835,-310
HEART MIRROR ANTIQUE WHITE,76,0.42173020365129565,2354.8,0.026091324712935446,Others,1732,836,896
CREAM WALL PLANTER HEART SHAPED,150,0.83236224404861,2354.8,0.026091324712935446,Others,990,836,154
20 DOLLY PEGS RETROSPOT,182,1.0099328561123133,2354.54,0.02608844389739894,Others,809,838,-29
SET OF 6 T-LIGHTS CACTI ,106,0.5882026524610177,2348.4900000000002,0.02602140953587641,Others,1372,839,533
SHELF WITH 4 HOOKS HOME SWEET HOME,103,0.5715554075800455,2346.84,0.026003127437279356,Others,1407,840,567
CREAM SLICE FLANNEL PINK SPOT ,90,0.499417346429166,2345.96,0.025993376984694255,Others,1569,841,728
HOME SWEET HOME KEY HOLDER,105,0.582653570834027,2341.4100000000003,0.025942962712805412,Others,1384,842,542
TOY TIDY SPACEBOY  ,258,1.4316630597636093,2340.76,0.025935760673964147,Others,510,843,-333
ROLL WRAP 50'S RED CHRISTMAS ,205,1.1375617335331,2340.45,0.02593232585543985,Others,708,844,-136
RETROSPOT RED WASHING UP GLOVES,281,1.559291937184396,2333.34,0.02585354663057618,Others,448,845,-397
S/4 VALENTINE DECOUPAGE HEART BOX,125,0.6936352033738417,2326.9900000000002,0.025783188251126913,Others,1205,846,359
PACK OF 12 TRADITIONAL CRAYONS,394,2.186338161034349,2323.43,0.025743743238396295,Others,250,847,-597
TRIPLE HOOK ANTIQUE IVORY ROSE,210,1.165307141668054,2319.28,0.025697760990409768,Others,679,848,-169
SET OF 3 WOODEN SLEIGH DECORATIONS,274,1.5204483657954608,2317.06,0.025673163257751912,Others,468,849,-381
VINTAGE BELLS GARLAND,143,0.7935186726596748,2316.19,0.025663523605764377,Others,1048,850,198
 OVAL WALL MIRROR DIAMANTE ,153,0.8490094889295821,2311.52,0.025611779726704833,Others,972,851,121
SMALL HEART MEASURING SPOONS,448,2.485988568891848,2310.41,0.025599480860375903,Others,196,852,-656
12 PENCIL SMALL TUBE WOODLAND,327,1.8145496920259696,2310.12,0.025596267643046722,Others,358,853,-495
CERAMIC STRAWBERRY MONEY BOX,103,0.5715554075800455,2308.52,0.02557853954743746,Others,1407,854,553
CHARLIE + LOLA RED HOT WATER BOTTLE,251,1.392819488374674,2303.59,0.025523914852841417,Others,536,855,-319
SET OF 9 HEART SHAPED BALLOONS,223,1.2374452028189333,2301.85,0.02550463554886634,Others,630,856,-226
RUSTIC MIRROR WITH LACE HEART,78,0.4328283669052772,2292.37,0.025399596582381445,Others,1705,857,848
KINGS CHOICE TEA CADDY ,247,1.370623161866711,2288.67,0.025358600361285018,Others,546,858,-312
HANGING HEART WITH BELL,214,1.1875034681760168,2282.45,0.025289682389604,Others,660,859,-199
BLUE POLKADOT CUP,267,1.4816047944065258,2273.63,0.025191956262557928,Others,485,860,-375
CACTI T-LIGHT CANDLES,138,0.7657732645247212,2258.74,0.02502697417279421,Others,1093,861,232
SET OF 10 LANTERNS FAIRY LIGHT STAR,91,0.5049664280561567,2256.32,0.0250001604281852,Others,1553,862,691
VINTAGE BILLBOARD TEA MUG,85,0.4716719382942123,2250.52,0.024935896081601613,Others,1624,863,761
HANGING JAM JAR T-LIGHT HOLDERS,89,0.4938682648021752,2247.05,0.02489744827424902,Others,1583,864,719
SKULLS AND CROSSBONES WRAP,158,0.8767548970645358,2240.5,0.024824873882848594,Others,931,865,66
ASSORTED COLOUR T-LIGHT HOLDER,116,0.643693468730925,2228.63,0.024693353573547357,Others,1279,866,413
BALLOON WATER BOMB PACK OF 35,141,0.7824205094056933,2225.52,0.024658894587706853,Others,1070,867,203
ZINC WILLIE WINKIE  CANDLE STICK,246,1.3650740802397203,2222.87,0.024629532429354006,Others,550,868,-318
DECORATIVE WICKER HEART MEDIUM,210,1.165307141668054,2221.97,0.02461956037557379,Others,679,869,-190
STAR WOODEN CHRISTMAS DECORATION,206,1.143110815160091,2220.7,0.024605488699683938,Others,702,870,-168
SET OF 3 WOODEN TREE DECORATIONS,276,1.5315465290494423,2217.29,0.024567705695916695,Others,460,871,-411
PINK DOUGHNUT TRINKET POT ,224,1.242994284445924,2216.3,0.024556736436758465,Others,624,872,-248
SET OF 60 VINTAGE LEAF CAKE CASES ,331,1.8367460185339326,2213.16,0.024521945049125277,Others,351,873,-522
DOORMAT I LOVE LONDON,96,0.5327118361911104,2211.86,0.02450754097144275,Others,1499,874,625
BLUE SAVANNAH PICNIC HAMPER FOR 2,121,0.6714388768658787,2211.19,0.024500117331406373,Others,1247,875,372
FRENCH WC SIGN BLUE METAL,284,1.575939182065368,2203.0,0.02440937164200645,Others,442,876,-434
CLASSIC BICYCLE CLIPS ,94,0.5216136729371289,2201.48,0.024392529951177647,Others,1523,877,646
PINK POLKADOT WRAP ,181,1.0043837744853228,2194.0,0.024309651104204334,Others,814,878,-64
GARLAND WITH STARS AND BELLS,110,0.6103989789689807,2191.37,0.024280510547046604,Others,1340,879,461
60 CAKE CASES DOLLY GIRL DESIGN,371,2.058709283613562,2187.15,0.02423375269487717,Others,285,880,-595
SLATE TILE NATURAL HANGING,158,0.8767548970645358,2172.64,0.02407298102782065,Others,931,881,50
VANILLA SCENT CANDLE JEWELLED BOX,100,0.5549081626990733,2170.15,0.024045391679028732,Others,1442,882,560
GROW YOUR OWN BASIL IN ENAMEL MUG,211,1.1708562232950446,2166.9100000000003,0.024009492285419973,Others,674,883,-209
SWALLOWS GREETING CARD,262,1.453859386271572,2166.61,0.024006168267493234,Others,497,884,-387
RED ROCKING HORSE HAND PAINTED,143,0.7935186726596748,2166.05,0.02399996343402999,Others,1048,885,163
WRAP PINK FAIRY CAKES ,152,0.8434604073025913,2163.0,0.02396616925177483,Others,978,886,92
BALLOONS  WRITING SET ,331,1.8367460185339326,2162.93,0.02396539364759192,Others,351,887,-536
SET OF SALT AND PEPPER TOADSTOOLS,158,0.8767548970645358,2162.64,0.02396218043026274,Others,931,888,43
GINGHAM RECIPE BOOK BOX,124,0.6880861217468509,2156.97,0.02389935649144741,Others,1217,889,328
SPACEBOY BIRTHDAY CARD,424,2.3528106098440706,2156.37,0.023892708455593936,Others,217,890,-673
GREEN 3 PIECE POLKADOT CUTLERY SET,72,0.39953387714333277,2155.42,0.023882182398825936,Others,1785,891,894
SET OF 5 MINI GROCERY MAGNETS,178,0.9877365296043504,2149.9300000000003,0.02382135287076665,Others,829,892,-63
3 TRADITIONAl BISCUIT CUTTERS  SET,203,1.1264635702791188,2148.61,0.023806727191889004,Others,719,893,-174
BAKING MOULD EASTER EGG MILK CHOC,113,0.6270462238499528,2141.2700000000004,0.023725399553281505,Others,1309,894,415
SET/6 PURPLE BUTTERFLY T-LIGHTS,194,1.076521835636202,2136.8,0.02367587168617312,Others,757,895,-138
POLYESTER FILLER PAD 40x40cm,174,0.9655402030963876,2134.4,0.02364927954275922,Others,847,896,-49
MAN FLU METAL SIGN,175,0.9710892847233784,2127.13,0.023568727508334626,Others,841,897,-56
TRAVEL CARD WALLET I LOVE LONDON,238,1.3206814272237946,2126.55,0.023562301073676267,Others,574,898,-324
CARD BILLBOARD FONT,422,2.341712446590089,2120.48,0.023495045110958616,Others,219,899,-680
LE JARDIN BOTANIQUE CUSHION COVER,158,0.8767548970645358,2120.0,0.02348972668227584,Others,931,900,31
LETTER HOLDER HOME SWEET HOME,128,0.7102824482548138,2117.86,0.023466015354398448,Others,1172,901,271
BOX OF 6 ASSORTED COLOUR TEASPOONS,201,1.1153654070251373,2117.52,0.023462248134081477,Others,728,902,-174
CHINESE DRAGON PAPER LANTERNS,95,0.5271627545641197,2116.18,0.023447400854008715,Others,1510,903,607
FRENCH BATHROOM SIGN BLUE METAL,213,1.181954386549026,2114.02,0.02342346792493621,Others,664,904,-240
SET/20 STRAWBERRY PAPER NAPKINS ,294,1.6314299983352754,2113.79,0.02342091951119238,Others,421,905,-484
 50'S CHRISTMAS GIFT BAG LARGE,118,0.6547916319849065,2108.63,0.0233637464028525,Others,1265,906,359
JAM JAR WITH PINK LID,275,1.5259974474224516,2106.42,0.023339259470792205,Others,463,907,-444
HEART DECORATION WITH PEARLS ,255,1.4150158148826368,2104.63,0.023319426163829336,Others,521,908,-387
POTTING SHED TWINE,101,0.560457244326064,2102.69,0.023297930847903103,Others,1431,909,522
CLASSIC FRENCH STYLE BASKET NATURAL,104,0.5771044892070363,2100.82,0.023277211136159777,Others,1394,910,484
PACK OF 12 SUKI TISSUES ,341,1.8922368348038399,2096.92,0.023233998903112195,Others,330,911,-581
SWEETHEART WIRE WALL TIDY,101,0.560457244326064,2096.43,0.023228569673831852,Others,1431,912,519
CHILDREN'S SPACEBOY MUG,189,1.0487764275012486,2096.2400000000002,0.023226464462478256,Others,782,913,-131
SET OF 6 SNACK LOAF BAKING CASES,304,1.6869208146051826,2095.22,0.023215162801527345,Others,396,914,-518
ASSTD DESIGN RACING CAR PEN,102,0.5660063259530548,2092.0,0.023179485009113703,Others,1420,915,505
SMALL PARISIENNE HEART PHOTO FRAME ,138,0.7657732645247212,2089.6,0.023152892865699805,Others,1093,916,177
KEY RING BASEBALL BOOT UNION JACK,105,0.582653570834027,2081.62,0.023064473988848595,Others,1384,917,467
PACK OF 6 SANDCASTLE FLAGS ASSORTED,219,1.2152488763109706,2081.25,0.023060374366738957,Others,644,918,-274
SET 20 NAPKINS FAIRY CAKES DESIGN ,324,1.7979024471449976,2074.54,0.022986027165777603,Others,364,919,-555
PIZZA PLATE IN BOX,175,0.9710892847233784,2073.06,0.02296962867733903,Others,841,920,-79
TRAVEL CARD WALLET VINTAGE TICKET,404,2.241828977304256,2068.89,0.022923424828157384,Others,239,921,-682
BIRDHOUSE GARDEN MARKER ,132,0.7324787747627768,2068.12,0.022914893182145426,Others,1136,922,214
HEART WREATH DECORATION WITH BELL,168,0.9322457133344432,2059.11,0.022815061843745755,Others,874,923,-49
CHEST OF DRAWERS GINGHAM HEART ,78,0.4328283669052772,2054.71,0.02276630958082028,Others,1705,924,781
SET 12 LAVENDER  BOTANICAL T-LIGHTS,74,0.4106320403973142,2054.2400000000002,0.022761101952735056,Others,1759,925,834
TOILET METAL SIGN,395,2.19188724266134,2053.59,0.02275389991389379,Others,248,926,-678
GLASS JAR DAISY FRESH COTTON WOOL,255,1.4150158148826368,2051.08,0.022726088963906755,Others,521,927,-406
VINTAGE LEAF MAGNETIC NOTEPAD,246,1.3650740802397203,2049.95,0.022713568496382713,Others,550,928,-378
PICNIC BOXES SET OF 3 RETROSPOT ,140,0.7768714277787027,2048.16,0.022693735189419847,Others,1079,929,150
36 PENCILS TUBE SKULLS,250,1.3872704067476833,2048.12,0.022693291987029615,Others,539,930,-391
HEADS AND TAILS SPORTING FUN,195,1.0820709172631928,2045.05,0.02265927620357934,Others,753,931,-178
MIRROR MOSAIC VOTIVE HOLDER,68,0.37733755063536983,2040.57,0.0226096375358734,Others,1852,932,920
LUNCH BAG RED VINTAGE DOILY,125,0.6936352033738417,2038.69,0.022588807023532515,Others,1205,933,272
STOOL HOME SWEET HOME ,102,0.5660063259530548,2036.58,0.022565428097447795,Others,1420,934,486
PINK DINER WALL CLOCK,106,0.5882026524610177,2035.85,0.022557339653826065,Others,1372,935,437
SPACEBOY GIFT WRAP,169,0.9377947949614339,2034.84,0.02254614879347272,Others,865,936,-71
6 CHOCOLATE LOVE HEART T-LIGHTS,140,0.7768714277787027,2033.8600000000001,0.022535290334912046,Others,1079,937,142
ENAMEL COLANDER CREAM,156,0.8656567338105544,2031.92,0.022513795018985813,Others,949,938,11
BLUE 3 PIECE POLKADOT CUTLERY SET,91,0.5049664280561567,2021.99,0.022403770025610812,Others,1553,939,614
HEART WOODEN CHRISTMAS DECORATION,207,1.1486598967870818,2021.09,0.0223937979718306,Others,697,940,-243
KNEELING MAT HOUSEWORK  DESIGN,222,1.2318961211919428,2018.1,0.022360668593160785,Others,634,941,-307
CAKE STAND 3 TIER MAGIC GARDEN,62,0.34404306087342545,2012.3999999999999,0.02229751225255278,Others,1934,942,992
SET OF 6 T-LIGHTS TOADSTOOLS,185,1.0265801009932856,2011.18,0.022283994579650718,Others,800,943,-143
CARD HOLDER GINGHAM HEART,167,0.9266966317074524,2005.15,0.022217181819323303,Others,882,944,-62
FILIGREE HEART BUTTERFLY WHITE ,114,0.6325953054769436,2005.06,0.02221618461394528,Others,1297,945,352
SET 12 COLOUR PENCILS SPACEBOY ,254,1.409466733255646,2003.7,0.022201115732677405,Others,525,946,-421
IVORY SWEETHEART WIRE LETTER RACK ,154,0.8545585705565729,2001.9,0.022181171625116982,Others,964,947,17
KEEP CALM WALL ART ,19,0.10543255091282391,1999.47,0.02215424707991041,Others,2837,948,1889
VINTAGE CHRISTMAS GIFT BAG LARGE ,100,0.5549081626990733,1997.59,0.022133416567569522,Others,1442,949,493
WOODEN REGATTA BUNTING,146,0.8101659175406469,1997.0400000000002,0.02212732253470384,Others,1019,950,69
HERB MARKER BASIL,232,1.28738693746185,1995.6900000000003,0.022112364454033525,Others,595,951,-356
RED REFECTORY CLOCK ,95,0.5271627545641197,1987.6399999999999,0.022023169972999405,Others,1510,952,558
"FANCY FONT BIRTHDAY CARD, ",305,1.6924698962321734,1985.09,0.02199491582062214,Others,394,953,-559
KEY CABINET MA CAMPAGNE,102,0.5660063259530548,1984.77,0.02199137020150029,Others,1420,954,466
NOEL WOODEN BLOCK LETTERS ,128,0.7102824482548138,1981.3000000000002,0.021952922394147697,Others,1172,955,217
UNION JACK FLAG PASSPORT COVER ,181,1.0043837744853228,1980.79,0.02194727156367224,Others,814,956,-142
METAL SIGN EMPIRE TEA,223,1.2374452028189333,1978.72,0.021924335839977757,Others,630,957,-327
3D VINTAGE CHRISTMAS STICKERS ,179,0.9932856112313413,1977.75,0.02191358818201464,Others,821,958,-137
RETROSPOT CIGAR BOX MATCHES ,206,1.143110815160091,1973.21,0.021863284710723352,Others,702,959,-257
BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,176,0.9766383663503689,1971.7,0.021846553820492106,Others,837,960,-123
COTTON APRON PANTRY DESIGN,140,0.7768714277787027,1968.08,0.021806444004176147,Others,1079,961,118
CHILDRENS DOLLY GIRL MUG,183,1.015481937739304,1967.24,0.021797136753981282,Others,806,962,-156
SANDALWOOD FAN,142,0.787969591032684,1961.6399999999999,0.021735088419348854,Others,1059,963,96
12 EGG HOUSE PAINTED WOOD,88,0.48831918317518447,1959.42,0.021710490686691,Others,1594,964,630
VINTAGE RED ENAMEL TRIM JUG ,121,0.6714388768658787,1954.1100000000001,0.021651655569387755,Others,1247,965,282
JAM JAR WITH GREEN LID,263,1.4594084678985628,1952.1499999999999,0.021629938652266402,Others,494,966,-472
PINK  POLKADOT CUP,260,1.4427612230175906,1949.76,0.021603457309450062,Others,504,967,-463
CIRCUS PARADE BABY GIFT SET,78,0.4328283669052772,1949.1999999999998,0.02159725247598682,Others,1705,968,737
TREASURE TIN BUFFALO BILL ,189,1.0487764275012486,1946.23,0.021564344698512122,Others,782,969,-187
RED HEART SHAPE LOVE BUCKET ,142,0.787969591032684,1942.13,0.021518916453513386,Others,1059,970,89
MAKE YOUR OWN FLOWERPOWER CARD KIT,186,1.0321291826202763,1940.3600000000001,0.021499304747745633,Others,795,971,-176
RED METAL BEACH SPADE ,220,1.2207979579379613,1934.64,0.021435926805942515,Others,639,972,-333
 RED SPOT GIFT BAG LARGE,96,0.5327118361911104,1927.42,0.021355928774505706,Others,1499,973,526
RIBBON REEL MAKING SNOWMEN ,209,1.1597580600410633,1926.75,0.021348505134469325,Others,684,974,-290
WATERING CAN GARDEN MARKER,122,0.6769879584928694,1926.65,0.021347397128493747,Others,1238,975,263
12 PENCILS TALL TUBE RED RETROSPOT,238,1.3206814272237946,1920.9099999999999,0.021283797585495506,Others,574,976,-402
STRAWBERRY RAFFIA FOOD COVER,149,0.8268131624216193,1920.5900000000001,0.021280251966373658,Others,994,977,17
PACK OF 12 COLOURED PENCILS,198,1.0987181621441653,1915.59,0.0212248516675947,Others,742,978,-236
KINGS CHOICE BISCUIT TIN,169,0.9377947949614339,1915.04,0.021218757634729017,Others,865,979,-114
ENGLISH ROSE GARDEN SECATEURS,203,1.1264635702791188,1911.31,0.02117742901183992,Others,719,980,-261
BOTTLE BAG RETROSPOT ,192,1.0654236723822208,1908.53,0.02114662644571882,Others,767,981,-214
DRAWER KNOB CRACKLE GLAZE GREEN,137,0.7602241828977304,1907.32,0.021133219573414314,Others,1101,982,119
SET OF 4 NAPKIN CHARMS HEARTS,146,0.8101659175406469,1907.11,0.021130892760865598,Others,1019,983,36
SET 3 SONG BIRD PAPER EGGS ASSORTED,114,0.6325953054769436,1905.2100000000003,0.0211098406473296,Others,1297,984,313
FOOD CONTAINER SET 3 LOVE HEART ,265,1.470506631152544,1901.09,0.021064190801135738,Others,491,985,-494
SWISS ROLL TOWEL PINK  SPOTS,38,0.21086510182564783,1895.99,0.02100768249638121,Others,2341,986,1355
CAKE STAND VICTORIAN FILIGREE MED,128,0.7102824482548138,1895.76,0.021005134082637378,Others,1172,987,185
BAKING MOULD CHOCOLATE CUPCAKES,132,0.7324787747627768,1895.14,0.02099826444558879,Others,1136,988,148
COSY HOUR CIGAR BOX MATCHES ,140,0.7768714277787027,1894.8899999999999,0.02099549443064984,Others,1079,989,90
WRAP VINTAGE LEAF DESIGN,124,0.6880861217468509,1894.0,0.020985633177467187,Others,1217,990,227
SET 12 KIDS COLOUR  CHALK STICKS,332,1.8422951001609233,1892.57,0.020969788692016406,Others,347,991,-644
VINTAGE RED ENAMEL TRIM MUG ,107,0.5937517340880084,1882.0,0.020852672460397702,Others,1362,992,370
RED STAR CARD HOLDER,144,0.7990677542866655,1880.48,0.020835830769568898,Others,1038,993,45
"KEY FOB , SHED",369,2.0476111203595804,1879.54,0.020825415513398456,Others,289,994,-705
IVORY EMBROIDERED QUILT ,27,0.1498252039287498,1878.29,0.02081156543870372,Others,2603,995,1608
AIRLINE BAG VINTAGE JET SET RED,196,1.0876199988901836,1877.97,0.020808019819581865,Others,749,996,-247
STAR T-LIGHT HOLDER WILLIE WINKIE,111,0.6159480605959714,1877.95,0.02080779821838675,Others,1331,997,334
MINI WOODEN HAPPY BIRTHDAY GARLAND,211,1.1708562232950446,1876.92,0.020796385756838287,Others,674,998,-324
CHARLIE+LOLA RED HOT WATER BOTTLE ,160,0.8878530603185173,1875.94,0.020785527298277613,Others,916,999,-83
HANGING CHICK CREAM DECORATION,117,0.6492425503579158,1875.57,0.020781427676167967,Others,1272,1000,272
SMALL MARSHMALLOWS PINK BOWL,430,2.386105099606015,1875.02,0.020775333643302283,Others,205,1001,-796
FILIGREE HEART BIRD WHITE ,122,0.6769879584928694,1870.0,0.020719711743328213,Others,1238,1002,236
WRAP POPPIES  DESIGN,144,0.7990677542866655,1869.5,0.02071417171345032,Others,1038,1003,35
3D TRADITIONAL CHRISTMAS STICKERS,186,1.0321291826202763,1863.83,0.02065134777463499,Others,795,1004,-209
RECYCLED ACAPULCO MAT LAVENDER,101,0.560457244326064,1862.4299999999998,0.020635835690976878,Others,1431,1005,426
SET 12 RETRO WHITE CHALK STICKS,349,1.9366294878197658,1860.51,0.020614561976245765,Others,317,1006,-689
WHITE WIRE EGG HOLDER,71,0.393984795516342,1855.8400000000001,0.020562818097186224,Others,1800,1007,793
SET OF 3 COLOURED  FLYING DUCKS,38,0.21086510182564783,1855.4,0.020557942870893672,Others,2341,1008,1333
WHITE BELL HONEYCOMB PAPER ,87,0.4827701015481938,1855.34,0.020557278067308324,Others,1606,1009,597
POSTE FRANCE CUSHION COVER,146,0.8101659175406469,1847.65,0.0204720724077863,Others,1019,1010,9
TABLECLOTH RED APPLES DESIGN ,83,0.46057377504023084,1844.1299999999999,0.020433070597445913,Others,1641,1011,630
METAL SIGN NEIGHBOURHOOD WITCH ,142,0.787969591032684,1833.15,0.02031141154132734,Others,1059,1012,47
GLASS JAR DIGESTIVE BISCUITS,158,0.8767548970645358,1831.72,0.020295567055876554,Others,931,1013,-82
REX CASH+CARRY JUMBO SHOPPER,861,4.777759280839021,1831.6,0.02029423744870586,Others,40,1014,-974
TEA FOR ONE POLKADOT,154,0.8545585705565729,1831.18,0.020289583823608428,Others,964,1015,-51
WHITE JEWELLED HEART DECORATION,159,0.8823039786915265,1831.1499999999999,0.020289251421815754,Others,922,1016,-94
3 TIER SWEETHEART GARDEN SHELF,40,0.22196326507962932,1830.4,0.020280941376998915,Others,2297,1017,1280
MINI CAKE STAND  HANGING STRAWBERY,204,1.1320126519061096,1827.6,0.020249917209682698,Others,713,1018,-305
JAZZ HEARTS PURSE NOTEBOOK,269,1.4927029576605073,1826.9099999999999,0.020242271968451204,Others,479,1019,-540
REGENCY CAKE FORK,87,0.4827701015481938,1825.5,0.02022664908419554,Others,1606,1020,586
DOORMAT NEIGHBOURHOOD WITCH ,89,0.4938682648021752,1820.59,0.020172245990794604,Others,1583,1021,562
DAIRY MAID LARGE MILK JUG,150,0.83236224404861,1819.78,0.020163271142392417,Others,990,1022,-32
SET/3 ROSE CANDLE IN JEWELLED BOX,106,0.5882026524610177,1818.39,0.02014786985933187,Others,1372,1023,349
KEY RING BASEBALL BOOT ASSORTED ,92,0.5105155096831474,1815.58,0.020116734891418096,Others,1541,1024,517
VINTAGE JINGLE BELLS HEART,74,0.4106320403973142,1815.26,0.020113189272296245,Others,1759,1025,734
ENAMEL FIRE BUCKET CREAM,113,0.6270462238499528,1813.06,0.020088813140833505,Others,1309,1026,283
ALUMINIUM STAMPED HEART,125,0.6936352033738417,1812.5500000000002,0.020083162310358053,Others,1205,1027,178
BISCUIT TIN VINTAGE GREEN,109,0.6048498973419899,1807.57,0.020027983612774213,Others,1348,1028,320
36 FOIL HEART CAKE CASES,166,0.9211475500804617,1805.2800000000002,0.020002610275933457,Others,885,1029,-144
STORAGE TIN VINTAGE DOILY ,147,0.8157149991676377,1801.93,0.019965492075751556,Others,1008,1030,-22
DINOSAUR LUNCH BOX WITH CUTLERY,178,0.9877365296043504,1796.58,0.019906213756058076,Others,829,1031,-202
DRAWER KNOB CRACKLE GLAZE PINK,136,0.7546751012707397,1795.3,0.019892031279570666,Others,1104,1032,72
SET OF 4 KNICK KNACK TINS LEAF,99,0.5493590810720826,1794.31,0.019881062020412434,Others,1456,1033,423
VINTAGE GLASS T-LIGHT HOLDER,142,0.787969591032684,1791.18,0.01984638143337681,Others,1059,1034,25
CHRISTMAS RETROSPOT ANGEL WOOD,175,0.9710892847233784,1788.8999999999999,0.019821118897133606,Others,841,1035,-194
MINI CAKE STAND WITH HANGING CAKES,167,0.9266966317074524,1786.1399999999999,0.019790537932207624,Others,882,1036,-154
STRAWBERRY CERAMIC TRINKET POT,111,0.6159480605959714,1783.72,0.01976372418759861,Others,1331,1037,294
RIBBON REEL LACE DESIGN ,172,0.954442039842406,1774.81,0.019665000855174516,Others,856,1038,-182
REGENCY CAKE SLICE,80,0.44392653015925865,1773.65,0.0196521479858578,Others,1680,1039,641
SET OF 6 FUNKY BEAKERS,158,0.8767548970645358,1772.81,0.01964284073566294,Others,931,1040,-109
12 PENCILS TALL TUBE SKULLS,245,1.3595249986127296,1772.7199999999998,0.019641843530284916,Others,556,1041,-485
I CAN ONLY PLEASE ONE PERSON MUG,159,0.8823039786915265,1771.46,0.01962788265499262,Others,922,1042,-120
PACK OF 20 NAPKINS RED APPLES,295,1.636979079962266,1765.6799999999998,0.01956383990960415,Others,417,1043,-626
RED RETROSPOT APRON ,112,0.621497142222962,1765.17,0.0195581890791287,Others,1320,1044,276
ROCKING HORSE RED CHRISTMAS ,223,1.2374452028189333,1763.61,0.019540904185909664,Others,630,1045,-415
BROCANTE COAT RACK,52,0.28855224460351814,1757.31,0.019471099809448184,Others,2088,1046,1042
YELLOW GIANT GARDEN THERMOMETER,110,0.6103989789689807,1756.0500000000002,0.01945713893415589,Others,1340,1047,293
3 RAFFIA RIBBONS 50'S CHRISTMAS ,187,1.037678264247267,1755.67,0.01945292851144869,Others,791,1048,-257
PARLOUR CERAMIC WALL HOOK,70,0.38843571388935133,1748.65,0.01937514649196304,Others,1818,1049,769
VINTAGE BILLBOARD LOVE/HATE MUG,190,1.0543255091282393,1747.17,0.01935874800352447,Others,777,1050,-273
ZINC T-LIGHT HOLDER STAR LARGE,154,0.8545585705565729,1744.04,0.019324067416488844,Others,964,1051,-87
SMALL RED RETROSPOT MUG IN BOX ,102,0.5660063259530548,1743.96,0.019323181011708383,Others,1420,1052,368
FELTCRAFT BOY JEAN-PAUL KIT,118,0.6547916319849065,1735.96,0.01923454053366206,Others,1265,1053,212
HOT WATER BOTTLE SEX BOMB,94,0.5216136729371289,1735.6,0.01923055171214997,Others,1523,1054,469
PACK OF 12 50'S CHRISTMAS TISSUES,168,0.9322457133344432,1734.78,0.019221466063150228,Others,874,1055,-181
RETROSPOT WOODEN HEART DECORATION,235,1.304034182342822,1733.28,0.01920484597351654,Others,584,1056,-472
IF YOU CAN'T STAND THE HEAT MUG,111,0.6159480605959714,1733.05,0.019202297559772707,Others,1331,1057,274
LOVE HEART POCKET WARMER,114,0.6325953054769436,1730.33,0.019172159797236958,Others,1297,1058,239
CHRISTMAS GINGHAM STAR,181,1.0043837744853228,1728.6599999999999,0.019153656097444786,Others,814,1059,-245
T-LIGHT HOLDER HANGING LOVE BIRD,95,0.5271627545641197,1728.39,0.019150664481310725,Others,1510,1060,450
SET/3 OCEAN SCENT CANDLE JEWEL BOX,107,0.5937517340880084,1727.87,0.019144902850237712,Others,1362,1061,301
PINK POLKADOT GARDEN PARASOL,89,0.4938682648021752,1726.27,0.019127174754628447,Others,1583,1062,521
VINTAGE UNION JACK CUSHION COVER,92,0.5105155096831474,1725.24,0.019115762293079985,Others,1541,1063,478
WOODEN TREE CHRISTMAS SCANDINAVIAN,310,1.7202153043671273,1724.0199999999998,0.019102244620177917,Others,382,1064,-682
